0,Date,Serial,Model,Service,Status,Location,Part,Event,Notes
52,12/4/2018,CND8297K9P,Zbook 15 G3,Part Replacement,Complete,MIC,848236-001,XC31596121,Won’t build. keeps bluescreening.
53,12/4/2018,8CG807093B,t530 Thin Client,Repair Depot,In Progress,MIC,,5024120613,No power. Case: 5024120613
54,12/4/2018,CND7374T9L,Zbook 15 G3,Labor Only,Complete,MIC,,,Won’t build. Keeps bluescreening. Updated BIOS
55,10/30/2018,5CG8263TGG,840 G5,Part Replacement,Complete,VEC,L14383-001,XC31424642,Line on screen
56,10/30/2018,5CG8164PC7,840 G5,Part Replacement,Complete,VEC,L17251-001,XC31425207,Repairing on startup loop
57,11/1/2018,5CG6094QJF,840 G2,Part Replacement,Complete,VEC,799511-001,XC31435967,No power
58,11/1/2018,5CG8111BPF,840 G3,Labor Only,Complete,VEC,,,Frequent BSOD. Passed diag.
59,11/1/2018,5CG6060ZGY,840 G2,Part Replacement,Complete,VEC,,,Missing battery
60,11/8/2018,CND6315C2J,Zbook 15 G3,Labor Only,Complete,VEC,,,LCD flickering. Reseated LCD cable.
61,11/8/2018,5CG8264LZ3,840 G5,Not reproducible,Complete,VEC,,,Not powering on. Not reproducible. Possibly liquid.
62,11/8/2018,5CG6255WXF,840 G3,Not reproducible,Complete,VEC,,,Not booting. Not reproducible. Possibly liquid.
63,11/8/2018,CND8161GF0,Zbook 15 G3,Repair Depot,Complete,VEC,,,No power. Discoloration but no spill. Recommended depot.
64,11/8/2018,5CG61965D7,840 G3,Labor Only,Complete,VEC,,,Screen flickers and goes black. Not reproducible. Reseated LCD cable.
65,11/8/2018,CND82603N1,Zbook 15 G3,Part Replacement,Complete,VEC,848221-601,XC31473780,1 blink code
66,11/8/2018,5CG8224W0Z,840 G5,Part Replacement,Complete,VEC,,,Freezes. Probably SSD. Routed to Cadillac.
67,11/8/2018,5CG8263TGG,840 G5,Labor Only,Complete,VEC,,,Restarts randomly without warning. Unit worked on before for LCD. Reseated LCD connection.
68,11/8/2018,CND812998G,Zbook 15 G3,Part Replacement,Complete,VEC,,,Blue screens and freezes. Memory passed diagnostic. Running SSD diagnostic.
69,11/13/2018,CND8161GDS,Zbook 15 G3,Labor Only,Complete,VEC,,,Reported bad system board. Reset power.
70,11/13/2018,CND8161FWM,Zbook 15 G3,Part Replacement,Complete,VEC,,,SATA HDD bad.
71,11/15/2018,5CG6321LNX,840 G3,Part Replacement,Complete,VEC,,,SSD bad
72,11/15/2018,5CG81118HS,840 G3,Labor Only,Complete,VEC,,,No keys work
73,11/15/2018,5CG8164SFL,840 G5,Part Replacement,Complete,VEC,L14377-001,XC31509383,Many keys not responsive
74,11/15/2018,5CG6094R2B,840 G2,Labor Only,Complete,VEC,,,Wifi antenna fixed. Reported screen issue not reproducible.
75,11/15/2018,5CG8164PL4,840 G5,Labor Only,Complete,VEC,,,Flicker before windows...boot order config.
76,11/20/2018,5CG8164SFL,840 G5,Part Replacement,Complete,VEC,L14383-001,XC31531650,Flickering vertical bars on screen.
77,11/20/2018,5CG8231LKM,840 G5,Labor Only,Complete,VEC,,,Powers off immediately after power on. Liquid damage.
78,11/27/2018,5CG82317M3,840 G5,Labor Only,Complete,VEC,,,Bitlocker loop
79,11/27/2018,5CG62145BN,840 G3,Labor Only,Complete,VEC,,,Bitlocker. no boot to OS
80,11/27/2018,5CG8111BPF,840 G3,Part Replacement,Complete,VEC,,,Still BSOD
81,11/27/2018,5CG8164PC7,840 G5,Part Replacement,Complete,VEC,L15518-601,XC31562518,System slow; already replaced SSD.
82,11/27/2018,CND6315CB3,Zbook 15 G3,Labor Only,Complete,VEC,,,Boot order wrong. failing to load into SSD.
